Tweet,Date Created
"Just In: Herdsmen Attack #Enugu Community, Machete Security Guard #Nigeria #Security https://t.co/hBPApJcTQi https://t.co/uE7aPcdCvD",2018-04-03 15:03:37
"Saraki made the call at the opening of a two-day Security Summit organised by the Senate Ad-hoc Committee on Review of Current Security Infrastructure in Nigeria. #SecuritySummit Cc @bukolasaraki

https://t.co/Idf8uMagBx",2018-04-03 15:01:14
"Cross River vigilante group to partner security agencies in crime fighting
By Joseph Kingston, Calabar The Commandant of the Vigilante Group of Nigeria (VGN), Cross 
https://t.co/uGUJw5UM1b",2018-04-03 14:54:32
"Cross River vigilante group to partner security agencies in crime fighting
By Joseph Kingston, Calabar The Commandant of the Vigilante Group of Nigeria (VGN), Cross 
https://t.co/rw2emlWCDj",2018-04-03 14:54:30
"President Buhari Inaugurates Food Security Council-Photos President Muhammadu Buhari on Monday March 26th, inaugurated the National Food Security Council. The inauguration took place inside the... https://t.co/sHkzC9A4Oz",2018-04-03 14:47:49
"@Audu Chief just the neighborhood watch here has stopped and saved lives.The security situation in Nigeria would be well if we all speak out,criminals have friends,siblings and have homes.Dole",2018-04-03 14:34:24
"Our security protocol in Nigeria is almost military grade!

Can you lock pick 'Jam Lock' with 4 padlock and a 'protector' behind the door?

I leave that question for my opponent to answer! https://t.co/wRzP16k74c",2018-04-03 14:05:38
"@slraradhana Hello greetings  .am mr Joseph  from nigeria.  Am a paramilitary  personnel..  How do i apply  for security  job in your firm
I have 6yrs experience  with proper  training",2018-04-03 13:56:53
BIAFRANS CHRISTIANS ARE BEEN MURDERED DAILY BY ISLAMIC SECURITY FORCE NIGERIA GOVERNMENT UNLAWFUL? @BErNIE SANDERS CAN'T NEVER SPEAK UP? CAN'T CONDEMN IT? SHAME TO YOU @bernie SANDERS https://t.co/wzUJrSQqOi,2018-04-03 13:41:54
River Basin boards asked to reposition to ensure food security - EnviroNews Nigeria - https://t.co/tX2ckimXqr,2018-04-03 13:19:38
"If you doubt me, consider Congo DRC. Nobody gives a shit about Congo, because it doesn't fit into the ""War on Terrorism"". 

This will be our fate in Nigeria if we don't deal with our looming internal security crises - by ourselves.",2018-04-03 13:04:44
Nigeria’s President has twice declared Boko Haram defeated.  An attack on military barracks represents a significant escalation. https://t.co/j4w2haRALj,2018-04-03 12:56:41
Nigeria Assumes AU Security Council Chair for April https://t.co/w46a6xq2Tu via @allafrica,2018-04-03 12:55:38
"@julietkego Minister of Defence. Nigeria's security is the cornerstone of any progress it makes. I would move to enhance the role of our armed services in three areas: battle readiness, the mitigation of covert and overt threats and constructive, equal engagement in Nigeria's development.",2018-04-03 12:35:34
"Well, d fight is ended. I only hope people can live with d threats they've exposed themselves too #Nigeria #security
https://t.co/0JJ0MFkW1k",2018-04-03 12:29:46
"Security agencies are abetting the fight against illegal Oil Bunking in Nigeria, Rivers State.

@AsoRock
@riversstategov 
@NGRSenate 
@RotimiAmaechi 
@PetersideDakuku",2018-04-03 12:22:32
"@gtbank I know even Visa &amp; MasterCard Nigeria have 3D security enabled for 1st time transactions, so why the system fail? @mypaga @interswitchGRP @Visa @VisaNigeria @mastercard @MastercardMEA @cenbank #Emefielei and ps...why isn't the MD of GTbank on twitter? Seriously?",2018-04-03 12:20:31
"Retweeted The Guardian Nigeria (@GuardianNigeria):

Fayose likens Buhari to a father who is protecting his children that are armed robbers but calling on security agents to arrest his neighbour’s children for stealing meat from their mother’s pot.
https://t.co/HrhEmdf32E",2018-04-03 12:04:52
"Nigeria assumes a one-month rotational chairmanship of the @African_Union Peace and Security Council (AU-PSC) for April, 2018.Nigeria’s Permanent Representative to AU, Ambassador Bankole Adeoye, took over from Ambassador Zackariaou Maiga https://t.co/OeRh4Je5dE. Via @daily_trust. https://t.co/ON7N0677BM",2018-04-03 12:04:39
"@MizCazorla1 The problem in Nigeria security system is that anybody(no academic boundaries) is qualified to join the forces
There should be a school specially for training the police, so they will stop misbehaving and see value in themselves",2018-04-03 11:55:54
"Ritual Killersâ€™ Den uncovered in Kwara State https://t.co/PebsOCk29y
https://t.co/PebsOCk29y – 

A suspected ritual killersâ€™ den has been uncovered by the Nigeria Security and Civil... https://t.co/mMNCS1Hisp",2018-04-03 11:50:01
British Council Nigeria Vacancy for  Deputy Security Manager - Port Harcourt or Kano https://t.co/uXRbLHpmEI via @gblcareers,2018-04-03 11:10:50
"@femiTRIP See ehn yes blame the animals who are involved but as a lady you need to be wise enough to avoid these situations like that, why go to such shows in a country like Nigeria where security is a joke.",2018-04-03 10:41:38
"Buhari has failed on all fronts 

Security
Infrastructure
Economy
Inclusive governance
Rule of law 
Political engagement

Nigeria has no functioning govt

Vote out these propagandists now you are still alive https://t.co/VC9DlyWiqf",2018-04-03 10:01:24
"Everything in Nigeria is designed to kill Nigerians. 
&gt;Bad roads
&gt;Poor security 
&gt;Poor Health care
&gt;Wrong governmental policies
&gt;Inefficient power 
&gt;Archaic system of education 
&gt;Incompetence everywhere
&gt;Nigerians 

May God help this country!",2018-04-03 09:37:44
"When a wound is left untreated it festers &amp; spreads infection till the entire system shuts down.
Zero security anywhere &amp; the hoodlums ve become emboldened, because there is no repercussion for their criminal acts.
One day this disease will permeate every single part of Nigeria. https://t.co/X73PuUEbtG",2018-04-03 09:27:54
No Nigeria politician has ever agree to have stolen from the Government but my question is am i d 1 stealing all d money been looted? Am i the one stole all the money been recovered? How much is government salaries that even chief security will buy Estate in London? shame Nigeria,2018-04-03 09:20:08
Graduate Cyber Security Specialist at Deloitte Nigeria - Careers in Nigeria https://t.co/NcR1ueOYMk,2018-04-03 09:03:10
"Till now, @MBuhari has not finished investigating an IG who disobeyed his orders. 

If it takes this long for the President to take action on an issue that borders on security of lives, imagine how long we'll have to wait for a better Nigeria.",2018-04-03 09:02:07
"@AkinnubiOmotola @ibrahimolajeje @MrStanleyNwabia @OfficialPDPNig I agree with you bro PDP is far better than the APC. They are not after the progress of Nigeria. All they want is get power and destroy the oppositon party. Not concerned about the economy, security and well being of the people.",2018-04-03 08:56:52
Africa:Nigeria Assumes AU Security Council Chair for April https://t.co/KbTPIkC5JW,2018-04-03 08:46:58
"It was an orchestrated plan to Islamize all the ethnic nationalities in Nigeria,the whole security apparatus are being controlled by Moslems",2018-04-03 08:31:27
"FAAN Aviation Security Personnel To Be Fully Armed â€“ Minister The Minister of State for Aviation, Sen. Hadi Sirika, says Aviation Security (AVSEC) personnel of the Federal Airports Authority of... https://t.co/X67giJ9wma",2018-04-03 08:29:02
"In Nigeria people are murdered in large numbers while those meant to protect and secure them turns their back, but when it's time to bury them, they're buried with heavy security presence so their corpses can't be murdered again. Isn't Nigeria a wonderful place?",2018-04-03 08:17:41
@WendyPrincea You have a point. Our govt seems clueless and unperturbed about them. Bad economic condition and no security of lives. Nigeria is hopeless.,2018-04-03 08:11:52
Job For Security Training Facilitator at Risk Control Services Nigeria Limited https://t.co/joCYUZDfu4,2018-04-03 08:11:02
#Security | #UN Says 34 People Might Have Died in #Nigeria Easter Attack https://t.co/X18Sx5G2Tp,2018-04-03 08:05:34
"Tracking the cops: A new open source database is collating background info on police and security force officers in Nigeria, Egypt, and Mexico @EmmanuelFreuden https://t.co/YwSOAbcSJ5",2018-04-03 07:56:00
"Between Boko Haram, Herdsmen versus Farmer conflicts and this new euphemism of “armed bandits”, it’s clear that Govt is failing terribly on security especially in the Northern parts of Nigeria with no solutions forthcoming and continued attempts to divert attention and ignore. https://t.co/gnS3T3Slsi",2018-04-03 07:47:31
Graduate Cyber Security Specialist at Deloitte Nigeria https://t.co/0eZG8pfYDW click link for #jobs,2018-04-03 07:39:01
Buhari asked to probe his ‘pro-Arewa’ security chiefs The Middle Belt Youth Council has asked President Muhammadu Buhari to probe service chiefs if he is serious about insecurity. In a... https://t.co/XMAt0XS1qM,2018-04-03 07:31:48
Africa:Nigeria Assumes AU Security Council Chair for April: [Daily Trust] Nigeria has… https://t.co/tA9uLUr4aa,2018-04-03 07:20:25
"NIGERIA ASSUMES ONE-MONTH ROTATIONAL CHAIRMANSHIP OF AU  #POLITICS #TRENDING
Nigeria has assumed a one-month rotational chairmanship of the African Union Peace and Security Council (AU-PSC) for April, 2018. African... https://t.co/zDi4ONpeKa",2018-04-03 07:19:56
Africa:Nigeria Assumes AU Security Council Chair for April https://t.co/aRH6AKlIDc,2018-04-03 07:16:25
Africa:Nigeria Assumes AU Security Council Chair for April | Khalil Humam - https://t.co/WkS9OgestX,2018-04-03 07:15:20
Africa:Nigeria Assumes AU Security Council Chair for April - https://t.co/12pdTJChiZ https://t.co/VXq7QALc8p,2018-04-03 07:06:02
Africa:Nigeria Assumes AU Security Council Chair for April: [Daily Trust] Nigeria has… https://t.co/pbvxEayjxC,2018-04-03 07:01:58
"4 Years later, different political party acronym, same political class, same corruption, economic and security problems. Tears for my country Nigeria  #RedCardtoAPCandPDP 🔴 https://t.co/CVgJW4LQMm via @YouTube",2018-04-03 07:00:47
"@Rainbow941fm #morning show....... what the government is telling us is that, the looters we now have in Nigeria is those that collectted money from formal national security adviser. Hummmmmm. Bambo from ikeja",2018-04-03 06:59:44
"Gulf Of Guinea Security Key To Blue Economy â€“ NIMASA DG The director-general of the Nigerian Maritime Administration and Safety Agency (NIMASA), Dr Dakuku Peterside has said that the Gulf of... https://t.co/ByiOfWglX7",2018-04-03 06:49:06
"Nigeria assumes AU security council chair for April
https://t.co/JmSJGbP3gH https://t.co/jPXGDmmOyO",2018-04-03 06:22:00
"Nigeria assumes AU security council chair for April
https://t.co/NILGauCbNp https://t.co/Ws2vENd3QG",2018-04-03 05:41:41
Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/nkvt07SgK5 via @todayng https://t.co/mumMShpAUV,2018-04-03 05:24:00
Minister Adebayo Shittu urges Nigerians to support social security schemes https://t.co/HvfhXFxfa9 https://t.co/41bK8633se,2018-04-03 05:24:00
